Structure,Algorithm,N,Time
linear,unsorted,50,0.00017916663394620022
linear,unsorted,500,0.00020093338874479136
linear,unsorted,5000,0.0006864666938781738
linear,unsorted,50000,0.00448726664762944
linear,sorted,50,0.00033949998517831165
linear,sorted,500,0.0002578666511302193
linear,sorted,5000,0.0009720999902735153
linear,sorted,50000,0.01038120004038016
binary,sorted,50,0.0002620666443059842
binary,sorted,500,0.00022276665549725294
binary,sorted,5000,0.00024186668451875448
binary,sorted,50000,0.0002509666762004296
