Structure,Algorithm,N,Time
Insertion,Array,50,0.00015936667720476785
Insertion,Array,500,0.01644899998791516
Insertion,Array,5000,1.5844367666480441
Insertion,Array,50000,245.25448263335662
Insertion,Linked List,50,0.0004346999727810423
Insertion,Linked List,500,0.015448199934326112
Insertion,Linked List,5000,1.596537800040096
Insertion,Linked List,50000,458.77788826664136
Merge,Array,50,9.846667914340894e-05
Merge,Array,500,0.001654799949998657
Merge,Array,5000,0.019559866671139996
Merge,Array,50000,0.45800343330483884
Merge,Linked List,50,9.720000283171733e-05
Merge,Linked List,500,0.0015796666654447715
Merge,Linked List,5000,0.01941190000313024
Merge,Linked List,50000,0.42274713329970837
Quick,Array,50,0.00013353334118922552
Quick,Array,500,0.0021925999705369272
Quick,Array,5000,0.02731756668072194
Quick,Array,50000,0.6977106999838725
Quick,Linked List,50,0.00013743333208064237
Quick,Linked List,500,0.0020203666063025594
Quick,Linked List,5000,0.027627733380844195
Quick,Linked List,50000,0.7875037333384777
